WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
FD0UDT,Gold,Put,"10,000000:1","4000,000000 USD",19.12.2025 00:00:00,"35,4562","3982,055 USD","9,6100","9,7500",-,-
SX8S66,Gold,Call,"10,000000:1","3800,000000 USD",19.12.2025 00:00:00,"16,6826","3982,055 USD","20,7500","20,6500",-,-
FD1SAA,Gold,Call,"10,000000:1","4440,000000 USD",19.12.2025 00:00:00,"242,9743","3982,055 USD","1,3400","1,4100",-,-
SY99H4,Gold,Put,"10,000000:1","2800,000000 USD",19.12.2025 00:00:00,"1816,1639","3982,055 USD","0,0140","0,1900",-,-
SY6VYC,Gold,Call,"10,000000:1","2240,000000 USD",19.12.2025 00:00:00,"2,2682","3982,055 USD","152,1600","152,0800",-,-
SY6VYV,Gold,Call,"10,000000:1","2410,000000 USD",19.12.2025 00:00:00,"2,5102","3982,055 USD","137,5000","137,4100",-,-
SY6VYQ,Gold,Call,"10,000000:1","2360,000000 USD",19.12.2025 00:00:00,"2,4338","3982,055 USD","141,8100","141,7300",-,-
SY6VY4,Gold,Call,"10,000000:1","2500,000000 USD",19.12.2025 00:00:00,"2,6605","3982,055 USD","129,7400","129,6600",-,-
FD0JT9,Gold,Put,"10,000000:1","3840,000000 USD",19.12.2025 00:00:00,"82,7311","3982,055 USD","4,0600","4,1800",-,-
FD0JTZ,Gold,Call,"10,000000:1","4120,000000 USD",19.12.2025 00:00:00,"59,7885","3982,055 USD","5,8000","5,7600",-,-
FD1R98,Gold,Call,"10,000000:1","4400,000000 USD",19.12.2025 00:00:00,"205,3582","3982,055 USD","1,6100","1,6700",-,-
FD2T5P,Gold,Put,"10,000000:1","4160,000000 USD",19.12.2025 00:00:00,"18,3110","3982,055 USD","18,6500","18,8600",-,-
FD2T5U,Gold,Put,"10,000000:1","4260,000000 USD",19.12.2025 00:00:00,"13,3142","3982,055 USD","25,6800","25,9300",-,-
FD2T5B,Gold,Call,"10,000000:1","5000,000000 USD",19.12.2025 00:00:00,"1231,8673","3982,055 USD","0,1100","0,2800",-,-
FD2T55,Gold,Put,"10,000000:1","4480,000000 USD",19.12.2025 00:00:00,"7,9360","3982,055 USD","43,2000","43,5100",-,-
